start,opening,closing,highest,lowest,amount,volume
1567274400,0.017575,0.01757,0.017577,0.017562,3.6291897778327,206.5644302
1567274700,0.017571,0.017566,0.017574,0.017557,5.3989016275266,307.3560358
1567275000,0.017568,0.01757,0.017575,0.017564,4.5459006421759,258.7446807
1567275300,0.017566,0.017564,0.017575,0.017554,4.98750772903543,283.93001273
1567275600,0.017569,0.017564,0.01758,0.017552,5.33566125208759,303.80043829
1567275900,0.017564,0.017553,0.017565,0.017544,3.621427391299,206.2858301
1567276200,0.017553,0.017533,0.017559,0.017531,3.8829549181032,221.3210251
1567276500,0.017536,0.01752,0.017536,0.017516,5.139713445788,293.2698689
1567276800,0.01752,0.017429,0.017522,0.017424,4.88339269830875,279.15134101
1567277100,0.017424,0.017411,0.017506,0.017388,4.805834158099,275.54529324
1567277400,0.01741,0.017427,0.017464,0.017402,5.4012588226708,309.70378382
1567277700,0.017439,0.017453,0.017466,0.017439,5.2963808081076,303.48409074
1567278000,0.017453,0.017445,0.01746,0.01744,4.322267984537,247.6934084
1567278300,0.017448,0.017462,0.017467,0.017414,6.02140840090304,345.31075362
1567278600,0.017443,0.017441,0.017462,0.01742,5.2673380830631,302.157371
1567278900,0.017445,0.017444,0.017445,0.017432,3.2326560316939,185.3640572
1567279200,0.017443,0.017477,0.017484,0.017443,2.7604678252902,158.0343939
1567279500,0.017477,0.017468,0.017477,0.017459,4.92001392080541,281.65937707
1567279800,0.017472,0.017459,0.017472,0.017441,3.7307441357111,213.7235937
1567280100,0.01747,0.017484,0.017484,0.017468,3.50384394546006,200.4931012
1567280400,0.017484,0.017481,0.017492,0.017474,5.51812520981052,315.62507146
1567280700,0.017482,0.017487,0.017491,0.017472,6.23563681179087,356.76902444
1567281000,0.017483,0.017485,0.017488,0.01747,4.68900192113514,268.25820183
1567281300,0.017481,0.017503,0.017509,0.017481,5.10010251240184,291.50539794
1567281600,0.0175,0.01749,0.017507,0.017487,4.22725801179723,241.60432765
1567281900,0.017489,0.01748,0.017491,0.017472,4.46699677253376,255.50512194
1567282200,0.017481,0.017457,0.017488,0.017457,5.20863587620794,297.9853324
1567282500,0.017468,0.01752,0.017543,0.017452,5.00447410602355,286.32716028
1567282800,0.017521,0.017557,0.017564,0.017521,5.17591043000893,294.95893698
1567283100,0.017555,0.01756,0.017568,0.017535,5.32672649006679,303.47155686
1567283400,0.017558,0.017549,0.017563,0.017545,5.46187948725527,311.1690811
1567283700,0.017549,0.017538,0.017549,0.017523,4.67924201891491,266.80606857
1567284000,0.017538,0.017537,0.017557,0.017532,4.49249652114888,256.07925043
1567284300,0.017537,0.017532,0.017541,0.017524,5.86277562317538,334.42801054
1567284600,0.017531,0.017568,0.017578,0.01753,5.0806373153931,289.4117959
1567284900,0.017564,0.017553,0.017577,0.017551,4.8787619275194,277.82588452
1567285200,0.017557,0.01757,0.017578,0.017557,4.92478468377523,280.34775943
1567285500,0.017571,0.017579,0.017584,0.017564,5.1972548921577,295.7465627
1567285800,0.017575,0.017596,0.017596,0.017568,5.54254377035806,315.29670479
1567286100,0.017588,0.017609,0.017637,0.01757,5.44208560864912,309.08927027
1567286400,0.017614,0.017636,0.017638,0.01761,4.97951017790534,282.57764108
1567286700,0.017637,0.017639,0.017657,0.017635,3.99551023683997,226.45058681
1567287000,0.01764,0.017635,0.017664,0.017611,3.95690692463236,224.20934534
1567287300,0.017646,0.017789,0.017805,0.017639,5.5429201974006,313.3697733
1567287600,0.017777,0.017876,0.0179,0.017774,5.0035400122649,280.5474533
1567287900,0.017874,0.017902,0.017904,0.017857,4.12082699915267,230.37943173
1567288200,0.017908,0.017919,0.017956,0.017887,5.04157616584278,281.33107816
1567288500,0.017924,0.017974,0.017975,0.017915,6.30225615025788,351.41310782
1567288800,0.017974,0.018066,0.018067,0.017974,3.9156683785371,217.0187519
1567289100,0.018065,0.018038,0.018078,0.018023,2.7898180052885,154.5098801
1567289400,0.018034,0.017966,0.018036,0.017965,5.6649805045719,314.6396173
1567289700,0.01797,0.01802,0.01803,0.017968,5.2731698223085,292.6686674
1567290000,0.01802,0.018002,0.018029,0.01799,4.44808135597443,247.07690687
1567290300,0.018002,0.018037,0.018054,0.018001,4.2887826229413,237.8130985
1567290600,0.018034,0.018024,0.018049,0.018004,3.8446377108474,213.2103705
1567290900,0.018024,0.018008,0.018024,0.017991,4.3148217970722,239.6014404
1567291200,0.018007,0.017996,0.018009,0.017991,3.43139089427037,190.66090559
1567291500,0.017995,0.017991,0.018003,0.017979,4.9324004761344,274.1721802
1567291800,0.017991,0.01796,0.017995,0.017957,3.9051004382816,217.3204368
1567292100,0.017957,0.017948,0.017957,0.01794,4.35766488088572,242.76539298
1567292400,0.017948,0.01792,0.017971,0.017919,4.5326459657771,252.5367948
1567292700,0.017919,0.017905,0.017931,0.017901,5.3057895266517,296.0670819
1567293000,0.017906,0.017878,0.017917,0.017864,5.0130751370374,280.1857798
1567293300,0.017872,0.01789,0.017894,0.017872,1.7780750305713,99.4158618
