start,opening,closing,highest,lowest,amount,volume
1567123200,0.017799,0.017822,0.017847,0.017788,6.65834915876485,373.7435516
1567123500,0.017819,0.017841,0.017844,0.017819,4.18419950285843,234.66974409
1567123800,0.017836,0.017788,0.017836,0.017782,4.56255859467922,256.35224157
1567124100,0.017786,0.017738,0.017786,0.017737,2.92767192550825,164.8634741
1567124400,0.017738,0.017757,0.017757,0.017736,3.7199148586129,209.58650428
1567124700,0.01776,0.017754,0.017761,0.017754,1.5815836806953,89.0747155
1567125000,0.017754,0.017751,0.01776,0.017738,3.89565228943124,219.44945408
1567125300,0.01775,0.017743,0.017756,0.01774,6.34475176228378,357.52595171
1567125600,0.017743,0.017725,0.017761,0.017722,5.88879321466178,331.9591655
1567125900,0.017725,0.017742,0.017742,0.017717,5.11656463778365,288.59611735
1567126200,0.017742,0.017741,0.017744,0.017721,3.5516269144584,200.2792868
1567126500,0.017743,0.017727,0.017744,0.017722,5.0844584487182,286.7465991
1567126800,0.017726,0.017725,0.017737,0.017717,5.71888181897348,322.59697616
1567127100,0.017727,0.017716,0.017727,0.017706,5.43031651973671,306.53679819
1567127400,0.017722,0.017723,0.017738,0.01771,4.29781831576038,242.46978798
1567127700,0.017724,0.017709,0.017735,0.017704,4.4229633389292,249.6075098
1567128000,0.017708,0.017702,0.017708,0.017695,4.3732692925872,247.0650416
1567128300,0.017702,0.01771,0.017714,0.017694,3.43087077088768,193.81963307
1567128600,0.017711,0.017731,0.017733,0.017708,5.46308976982592,308.29856218
1567128900,0.017732,0.017726,0.017743,0.017723,2.87811031071367,162.31768002
1567129200,0.017727,0.017716,0.01774,0.017713,7.57095026251,427.11837906
1567129500,0.017716,0.017725,0.017728,0.017714,5.95850192093562,336.25992693
1567129800,0.017723,0.017715,0.017723,0.017703,2.85455368772215,161.15342636
1567130100,0.017714,0.017719,0.017724,0.017704,4.20336739882345,237.27701827
1567130400,0.017717,0.017725,0.017727,0.017713,3.98518881721752,224.91519426
1567130700,0.017726,0.017729,0.017739,0.017715,4.6744521759611,263.7396059
1567131000,0.017718,0.017721,0.01773,0.017713,6.12754724540689,345.83595945
1567131300,0.017719,0.017715,0.017723,0.017704,4.77684135581386,269.64481609
1567131600,0.017714,0.017714,0.017716,0.017696,3.54311053189665,200.06407734
1567131900,0.017716,0.01774,0.017748,0.017716,4.65928894856387,262.77767926
1567132200,0.017746,0.017739,0.017757,0.01773,3.70400448779477,208.75310824
1567132500,0.017739,0.017736,0.017748,0.017734,4.57496175979342,257.85828949
1567132800,0.017737,0.017743,0.017751,0.017736,6.52130998347039,367.53934222
1567133100,0.017745,0.017743,0.017749,0.017736,6.42437121371754,362.07775888
1567133400,0.01774,0.01774,0.017747,0.017736,4.82729236392049,272.1215323
1567133700,0.017739,0.017743,0.017743,0.017721,7.0206612571502,395.88201777
1567134000,0.01774,0.017739,0.017748,0.017738,3.24225668948816,182.74228163
1567134300,0.017744,0.017744,0.017749,0.017736,5.47303254799553,308.4787923
1567134600,0.01774,0.017741,0.017744,0.017723,4.94154712711576,278.61087412
1567134900,0.017742,0.017743,0.017756,0.017734,6.47071303531463,364.71569721
1567135200,0.017743,0.017751,0.017753,0.017736,6.82490527225424,384.60828814
